Pic ID,Date,Money Transfer Application,Digital Payments,Digital Payment Type,Amount,Official Deposit
19541,23-03-2022,1,1,CashApp,18333,
19542,23-03-2022,1,1,paypal,12864,
195847,1/3/2022,1,1,Coinbase,37888.07,
195906,1/3/2022,1,1,CashApp,23028.17,
195908,1/3/2022,1,1,CashApp,3881,
195981,1/3/2022,1,1,No type identified,5300,
196008,1/3/2022,1,1,Coinbase,21000,
196050,1/3/2022,1,1,No type identified,8900,
196075,1/3/2022,1,1,Coinbase,3465.57,
196104,1/3/2022,1,1,Paypal,9352,
196263,1/3/2022,1,1,Cashapp,2000,
196281,1/3/2022,1,1,CashApp,9352,
196508,1/3/2022,1,1,CashApp,1200,
196554,1/3/2022,1,1,CashApp,30150.02,
196555,1/3/2022,1,1,Paypal,1400,
196600,1/3/2022,1,1,CashApp,8000,
197136,2/3/2022,1,1,paypal,500,
197310,2/3/2022,1,1,CashApp,23028.17,
197343,2/3/2022,1,1,CashApp,1200,
197968,2/3/2022,1,1,paypal,638.61,
197969,2/3/2022,1,1,paypal,7222.78,
198290,2/3/2022,1,1,CashApp,23590,
198473,2/3/2022,1,1,mobile check,5400,
198679,3/3/2022,1,1,CashApp,100000,
198788,3/3/2022,1,1,Paypal,2000,
198863,3/3/2022,1,1,No type identified,5300,
198872,3/3/2022,1,1,CashApp,37500,
199154,3/3/2022,1,1,CashApp,20000,
199261,3/3/2022,1,1,CashApp,20000,
199407,3/3/2022,1,1,CashApp,84001,
199525,3/3/2022,1,1,mobile check,5400,
199533,3/3/2022,1,1,Facebook Shop,2800,
199545,3/3/2022,1,1,CashApp,8000,
199634,3/3/2022,1,1,Coinbase,12336925.63,
199655,3/3/2022,1,1,Paypal,0,
199706,3/3/2022,1,1,CashApp,23028.17,
199731,3/3/2022,1,1,Paypal,0,
199732,3/3/2022,1,1,CashApp,0,
199733,3/3/2022,1,1,Paypal,2500,
199734,3/3/2022,1,1,CashApp,0,
199735,3/3/2022,1,1,Paypal,1500,
199737,3/3/2022,1,1,CashApp,0,
199739,3/3/2022,1,1,CashApp,0,
200139,3/3/2022,1,1,CashApp,577.71,
200140,3/3/2022,1,1,CashApp,903.48,
200693,4/3/2022,1,1,CashApp,8000,
200696,4/3/2022,1,1,paypal,18316.11,
200716,4/3/2022,1,1,Paypal,47505.57,
200966,4/3/2022,1,1,mobile check,5400,
201087,4/3/2022,1,1,paypal,700,
201127,4/3/2022,1,1,CashApp,15145,
201130,4/3/2022,1,1,CashApp,1607.15,
201484,4/3/2022,1,1,CashApp,17400,
201520,4/3/2022,1,1,CashApp,20000,
201601,4/3/2022,1,1,Facebook Shop,2000,
201602,4/3/2022,1,1,CashApp,8200,
201608,4/3/2022,1,1,CashApp,6323.76,
202208,5/3/2022,1,1,paypal,18316.11,
202514,5/3/2022,1,1,CashApp,9320,
202891,5/3/2022,1,1,CashApp,8000,
202892,5/3/2022,1,1,Paypal,1000,
202986,5/3/2022,1,1,Paypal,15500,
203222,5/3/2022,1,1,CashApp,1500,
203223,5/3/2022,1,1,CashApp,2000,
203224,5/3/2022,1,1,CashApp,4056,
203264,5/3/2022,1,1,mobile check,5400,
203580,5/3/2022,1,1,Paypal,1000,
203581,5/3/2022,1,1,Paypal,2000,
203582,5/3/2022,1,1,Paypal,2500,
203692,6/3/2022,1,1,Facebook Shop,8295.52,
203782,6/3/2022,1,1,Paypal,0,
204285,6/3/2022,1,1,CashApp,8000,
204286,6/3/2022,1,1,Paypal,1000,
204326,6/3/2022,1,1,Cashapp,1400,
204477,6/3/2022,1,1,paypal,5000,
204817,6/3/2022,1,1,Facebook Shop,167442.05,
204847,7/3/2022,1,1,CashApp,4000,
204959,7/3/2022,1,1,Paypal,0,
205173,7/3/2022,1,1,Coinbase,10000,
205389,7/3/2022,1,1,paypal,21443.08,
205900,7/3/2022,1,1,paypal,1447.9,
206201,7/3/2022,1,1,CashApp,2500,
206553,8/3/2022,1,1,CashApp,7061.85,
208318,9/3/2022,1,1,CashApp,27388.72,
214001,23-03-2022,1,1,CashApp,23050,
214049,23-03-2022,1,1,CashApp,5000,
214140,23-03-2022,1,1,CashApp,1365.02,
214175,23-03-2022,1,1,CashApp,8240,
214176,23-03-2022,1,1,CashApp,40401.93,
214177,23-03-2022,1,1,CashApp,25081.75,
214197,23-03-2022,1,1,CashApp,5000,
214199,23-03-2022,1,1,CashApp,6204.74,
214200,23-03-2022,1,1,CashApp,999.5,
21501,1/3/2022,1,1,CashApp,13000,
21508,1/3/2022,1,1,mobile check,5025.98,
21531,1/3/2022,1,1,Cashapp,1000,
21532,1/3/2022,1,1,CashApp,2000,
21536,1/3/2022,1,1,CashApp,1500,
21538,1/3/2022,1,1,CashApp,2000,
21539,1/3/2022,1,1,Cashapp,916,
21540,1/3/2022,1,1,CashApp,600,
21541,1/3/2022,1,1,Cashapp,1000,
21542,1/3/2022,1,1,CashApp,4056,
215554,24-03-2022,1,1,CashApp,2207,
215555,24-03-2022,1,1,CashApp,2306.15,
215556,24-03-2022,1,1,CashApp,3005,
21557,1/3/2022,1,1,CashApp,4000,
21558,1/3/2022,1,1,CashApp,5000,
21566,1/3/2022,1,1,CashApp,5000,
21567,1/3/2022,1,1,CashApp,1533.31,
21568,1/3/2022,1,1,CashApp,20832.98,
21575,1/3/2022,1,1,CashApp,2000,
21576,1/3/2022,1,1,paypal,4500,
21595,1/3/2022,1,1,CashApp,6110.12,
21596,1/3/2022,1,1,CashApp,5500,
21642,1/3/2022,1,1,CashApp,1400,
21661,2/3/2022,1,1,CashApp,5000,
21674,2/3/2022,1,1,Coinbase,6660.37,
21715,2/3/2022,1,1,CashApp,1000,
21716,2/3/2022,1,1,Cashapp,2000,
21717,2/3/2022,1,1,Cashapp,3000,
21718,2/3/2022,1,1,paypal,1500,
21727,2/3/2022,1,1,CashApp,15000,
21728,2/3/2022,1,1,CashApp,6660.37,
21776,2/3/2022,1,1,CashApp,10000,
21781,2/3/2022,1,1,Cashapp,9218.55,
21787,2/3/2022,1,1,Cashapp,2000,
21849,3/3/2022,1,1,CashApp,10322.12,
21911,3/3/2022,1,1,CashApp,4060,
21912,3/3/2022,1,1,Cashapp,1000,
21913,3/3/2022,1,1,CashApp,4056,
21916,3/3/2022,1,1,CashApp,20832.98,
21917,3/3/2022,1,1,Cashapp,2000,
21918,3/3/2022,1,1,CashApp,1000,
21919,3/3/2022,1,1,Cashapp,3000,
21929,4/3/2022,1,1,CashApp,2000,
21930,4/3/2022,1,1,Cashapp,2000,
21931,4/3/2022,1,1,CashApp,4056,
21932,4/3/2022,1,1,CashApp,1500,
21933,4/3/2022,1,1,Cashapp,5000,
21934,4/3/2022,1,1,Cashapp,2800,
21935,4/3/2022,1,1,CashApp,600,
21936,4/3/2022,1,1,Cashapp,916,
21937,4/3/2022,1,1,CashApp,1500,
21939,4/3/2022,1,1,Cashapp,300,
21940,4/3/2022,1,1,CashApp,2000,
21941,4/3/2022,1,1,CashApp,4056,
21942,4/3/2022,1,1,Cashapp,1000,
21943,4/3/2022,1,1,CashApp,5019,
219554,28-03-2022,1,1,CashApp,800.52,
219555,28-03-2022,1,1,CashApp,2705.14,
